IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,132,2.66
8.218.53.110,2052,2052,false,HKG,Asia Pacific,Hong Kong,174,2.60
8.218.2.181,2086,2086,false,HKG,Asia Pacific,Hong Kong,97,2.58
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,98,2.52
8.217.250.222,2082,2082,false,HKG,Asia Pacific,Hong Kong,133,2.49
8.218.53.110,2087,2087,true,HKG,Asia Pacific,Hong Kong,134,2.49
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,174,2.49
8.210.207.214,2095,2095,false,HKG,Asia Pacific,Hong Kong,131,2.48
8.217.121.207,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,2.48
47.243.139.243,80,80,false,HKG,Asia Pacific,Hong Kong,98,2.48
47.242.234.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,133,2.47
8.210.207.214,2086,2086,false,HKG,Asia Pacific,Hong Kong,132,2.45
8.217.91.121,80,80,false,HKG,Asia Pacific,Hong Kong,134,2.44
8.218.2.181,2053,2053,true,HKG,Asia Pacific,Hong Kong,98,2.44
8.218.222.36,2086,2086,false,HKG,Asia Pacific,Hong Kong,133,2.43
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,133,2.42
8.210.192.93,2086,2086,false,HKG,Asia Pacific,Hong Kong,99,2.39
47.243.139.243,2052,2052,false,HKG,Asia Pacific,Hong Kong,69,2.38
47.243.74.220,2082,2082,false,HKG,Asia Pacific,Hong Kong,98,2.35
8.218.11.90,8880,8880,false,HKG,Asia Pacific,Hong Kong,99,2.33
47.242.252.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,133,2.28
8.210.245.224,2095,2095,false,HKG,Asia Pacific,Hong Kong,175,2.27
8.210.3.24,8080,8080,false,HKG,Asia Pacific,Hong Kong,134,2.23
47.243.91.58,8880,8880,false,HKG,Asia Pacific,Hong Kong,82,2.22
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,131,2.18
8.217.250.222,2086,2086,false,HKG,Asia Pacific,Hong Kong,99,2.12
47.243.107.148,80,80,false,HKG,Asia Pacific,Hong Kong,82,2.10
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,98,2.10
8.210.175.109,2086,2086,false,HKG,Asia Pacific,Hong Kong,82,2.09
47.243.91.58,2095,2095,false,HKG,Asia Pacific,Hong Kong,134,2.06
47.243.91.58,8080,8080,false,HKG,Asia Pacific,Hong Kong,82,2.06
47.242.79.71,80,80,false,HKG,Asia Pacific,Hong Kong,99,1.90
8.210.156.6,2053,2053,true,HKG,Asia Pacific,Hong Kong,98,1.88
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,133,1.87
8.217.193.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,131,1.78
8.218.18.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,99,1.77
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,1.76
8.217.121.207,2086,2086,false,HKG,Asia Pacific,Hong Kong,99,1.72
8.217.85.14,80,80,false,HKG,Asia Pacific,Hong Kong,82,1.70
47.243.169.63,2082,2082,false,HKG,Asia Pacific,Hong Kong,72,1.57
